ax (m/s^2),ay (m/s^2),az (m/s^2)
-2.8347,-1.6605,-0.6711
0.1476,-1.1842,-0.6077
-2.0639,0.5039,5.6975
-1.122,2.1825,-0.4076
3.2388,3.5269,2.8689
1.486,0.6401,-0.1728
-1.5714,-1.6706,-1.2483
4.4937,-0.2634,4.2019
-3.4006,2.9318,1.5561
-4.1323,-2.4286,1.2589
-1.108,-0.7859,-0.2736
-0.8952,-0.493,1.3169
2.832,4.2836,5.5426
3.8096,-0.4528,3.7412
0.0164,-1.4849,-0.6466
2.1513,-0.9455,-1.4613
-0.9026,1.5484,-1.3194
-0.8901,-1.3063,-0.5025
-4.9625,0.2751,-0.5697
2.8442,-0.9568,0.8694
3.8172,-3.1315,2.2988
4.0288,-0.1219,4.595
-1.4193,-0.1946,3.1462
-0.9144,-0.8672,-0.289
-1.1016,1.7685,-0.6798
-0.7229,-2.2003,6.8696
-2.5549,-1.5656,-0.8974
-4.9295,-0.9527,0.7549
-4.6982,0.5391,1.0144
8.5871,-3.1585,4.8448
-4.6203,-1.547,0.5028
-2.6836,-1.1791,-0.3837
-5.6615,0.5564,-0.7103
-4.6233,0.0717,1.884
-3.0184,-2.3605,1.1154
-0.5135,1.7655,-0.9003
-2.8159,-3.2742,4.1284
-4.0798,2.9807,5.4399
-1.8301,-0.6424,8.6522
-2.0543,0.6694,4.8825
2.5996,3.3153,5.9135
-5.4828,-1.9649,1.4307
1.88,2.2116,-1.2933
3.0799,0.098,-0.11
-1.2039,-1.2507,-1.3192
-4.3452,0.5796,0.1049
0.7911,-1.2583,-1.2729
0.8818,1.0968,-0.7767
1.459,4.5908,0.0445
-0.0078,-1.665,-0.7539
-0.2365,-1.3213,7.3596
0.5618,-1.3614,-1.5871
2.3416,0.5447,3.6841
0.6956,2.9016,-1.6092
-0.1013,-1.5701,-0.8223
0.0581,-0.3073,-2.2065
0.4292,-1.0647,-1.3926
4.2603,-2.2549,-2.8957
1.3226,1.2317,-1.8787
2.3137,-0.488,3.2029
2.2485,5.8367,1.0177
6.204,-3.6441,1.7657
-0.0868,2.6478,0.7548
-1.839,1.1096,6.9506
-5.2522,0.665,-0.4237
-4.8534,-1.6773,0.6702
-4.6738,-2.9578,1.1901
-0.4581,0.6439,-1.2987
-0.1015,-1.5195,-1.0502
5.9462,-1.9587,2.7599
-6.401,2.9693,3.3631
-2.027,4.3681,3.4916
-4.8481,-0.2397,0.448
-0.3213,-0.8665,-1.0048
-5.9131,-0.9505,0.3055
-0.0127,2.6909,-1.92
2.0445,1.3827,4.8621
3.2586,-0.432,3.9627
-3.1545,2.2296,-0.3531
-0.9824,-0.2144,4.3696
-2.1911,0.438,1.6932
2.3554,-0.0735,3.143
0.0434,2.9927,-0.8812
0.0195,3.6426,-0.9899
3.5957,-2.4992,-0.681
-5.6736,-1.5417,2.2355
-2.4925,2.1853,-0.2791
1.9837,-1.2539,1.518
-0.3545,-1.1042,-1.4572
-0.9757,2.8747,-0.8193
-1.1322,-1.4798,-1.6927
-2.6988,0.7286,7.0514
1.9981,0.4884,2.4647
0.0174,2.1142,-1.9378
-0.0325,3.0207,-1.3422
-0.8858,-0.4208,5.6815
0.2853,0.5397,-0.6255
-2.9597,-0.2133,2.9945
0.6142,-0.8264,0.314
-2.6757,-0.4154,1.7001
1.003,2.3082,3.8647
3.4913,4.2517,2.2852
-1.0335,-1.8261,0.502
-4.8102,-0.3088,2.065
1.8666,0.395,0.1582
1.6185,0.1579,0.1029
0.4529,-1.3674,-1.4695
-1.3016,-1.7504,2.2746
-2.8934,0.0201,-1.1434
-3.5627,0.1427,-0.9737
-0.2586,2.8252,-1.7901
9.1734,-5.2091,2.3392
-0.9304,2.1143,-0.9002
1.4904,-0.1748,1.9404
-0.4569,-2.266,0.7073
-2.62,3.3221,-2.0152
2.5479,0.4902,4.4418
3.7271,6.1383,0.2956
1.3427,-1.8259,-2.2024
-6.4616,2.9577,4.4853
2.8811,1.3655,0.1816
-0.7015,1.1457,-1.9588
-5.8849,-0.6022,-0.0367
2.1398,-0.2309,0.5168
0.6811,1.748,-0.3174
0.2969,4.4884,1.0643
7.4666,-2.4846,4.8394
0.4997,-2.0671,-0.3069
1.9092,-0.6661,0.6592
10.1499,-4.5203,3.6365
-4.6493,-0.6664,0.0066
2.0689,-2.3372,-0.7201
0.928,2.0842,-0.2607
-6.3439,0.8882,5.2541
-0.2576,0.9286,1.2234
-3.2094,-2.3691,2.0422
3.8684,-3.2944,2.2012
0.2638,-0.4888,2.7779
-2.0846,-1.781,-0.4208
-1.7257,-1.8043,-0.9315
2.8055,2.6199,2.3109
1.8002,-2.1382,8.4859
-5.7038,3.4048,2.358
-3.9158,-0.8471,3.0284
5.5831,-0.7536,2.7225
0.9661,2.5487,-1.2148
2.4892,-0.2914,5.6662
-0.2927,-1.2568,-1.3611
0.6378,2.0999,4.9281
-4.7692,-0.2331,0.5199
-1.5945,2.0448,0.1371
-4.3096,-3.2409,0.6859
2.6817,-1.3051,1.136
-1.0877,-1.2232,-0.7761
2.5867,0.3971,0.3071
-4.076,3.1498,1.3691
3.1453,-0.1114,1.978
-0.5611,-1.4238,-0.0732
-4.3251,2.0812,-0.6674
1.9876,-1.3306,1.2599
5.7839,-0.5577,3.5769
7.1301,0.077,0.0905
-5.2451,0.8907,-0.4913
-1.4281,-0.4709,4.0828
4.8897,-1.3188,2.9836
-0.3773,2.8863,-0.9036
-4.9825,-0.4113,0.6515
-5.4271,-0.5532,0.4889
-0.3003,-0.0308,5.5406
0.3747,1.7455,-2.0883
-4.0012,-1.4279,4.8195
-4.9089,0.0188,0.2311
1.9381,-1.0742,0.2063
-1.1972,-1.356,-0.5335
-4.9197,-1.1037,0.4893
-5.1479,-1.0808,0.3748
2.9474,-1.9749,-0.8724
1.5096,1.2334,-0.2485
-2.9049,-0.0475,2.9237
1.8623,1.9994,-0.3957
2.8737,4.8769,2.7014
1.8923,0.7528,-0.9168
4.0108,0.4688,1.7259
-2.5297,0.6439,1.7709
-3.4226,-1.3328,-0.3973
-3.6883,0.981,0.3489
2.8729,-3.8294,4.9345
5.1501,-1.7051,3.3215
6.4392,-2.7453,4.2997
-1.74,-2.7726,-0.9742
-2.9788,0.8695,2.0365
1.7351,-2.3012,-1.6347
-1.2437,-0.2654,3.1635
-0.7311,3.0505,-0.6538
2.7141,1.3291,2.9976
0.5559,-0.3227,-2.2642
-3.5515,-0.3345,1.3753
-2.8536,2.0059,-2.898
4.0483,0.5968,-0.7138
0.9879,2.3402,-1.0503
4.4224,3.4333,1.593
-6.5985,1.4631,5.8293
0.3034,0.4599,0.4362
-3.7279,0.0068,2.4199
3.7855,0.7083,4.0557
-1.3255,-0.3354,0.5595
-7.4182,-1.3666,4.8184
-0.6501,1.81,-0.4773
-1.0233,-1.3319,-0.5005
-2.9774,-1.8493,3.8031
-0.2496,1.5216,-0.7754
1.0039,-0.0729,-2.9179
6.733,-0.6045,1.0054
-2.2507,0.0466,-1.6781
0.1582,-1.0118,-0.8935
0.6471,0.289,1.8621
-0.1898,-0.8152,1.5615
2.5713,1.1857,2.6377
1.6386,-0.6783,-1.5011
1.448,1.4107,0.4189
3.8958,1.1924,2.7469
-5.044,0.2921,2.5433
-4.9033,0.8587,-0.9664
5.3044,-1.6893,1.9936
0.5759,1.1998,-1.1199
0.6591,1.4258,-0.061
-0.9181,-1.2876,-1.6425
1.431,2.5472,0.1545
-1.3058,-1.3201,-0.5861
-4.9713,1.0786,-0.4525
-3.3406,2.6117,-0.6591
0.3501,2.3862,-0.3541
0.0763,-0.3356,0.1772
-3.4628,0.8098,1.0553
0.3711,-0.8531,5.6035
5.1479,-1.6909,2.979
0.5055,-1.3017,2.8623
5.3612,3.3113,2.2351
2.3526,-2.5701,4.3629
1.0573,2.3512,-0.927
-0.3258,1.9943,1.0825
4.6208,2.0525,3.278
-1.7275,5.2531,-1.4667
-5.2133,1.3367,-0.5679
4.3471,0.8498,1.768
0.6234,1.8122,-2.3604
7.2321,0.5358,3.4863
-4.8353,1.5715,-0.3562
-4.9341,-0.0363,0.2285
3.2486,-2.7043,-0.1682
-3.9864,-1.6229,2.6966
3.0311,-0.1575,-0.1795
-1.3466,-1.3139,-0.7254
-3.8353,-1.0617,1.3428
2.1699,-1.6756,-0.3489
3.1527,0.1104,4.6933
1.0684,-1.9702,4.9407
2.4621,-0.1751,0.1533
-2.2402,-1.0867,2.7291
0.0291,3.1624,-1.2949
-4.703,3.5286,5.0972
-3.0436,-2.3276,0.9451
-4.2136,2.0355,-1.2278
3.6621,3.1357,-0.1653
-5.7938,-0.905,-0.3217
-7.5041,3.0858,5.93
3.1252,-1.5382,-1.0159
1.8704,1.9949,-1.1037
-2.2419,0.4452,1.6096
-5.3242,1.2769,-0.781
-5.5405,-3.0809,2.1356
-1.4953,-1.7667,-0.4522
1.0277,1.4154,0.1764
-0.6669,-2.0545,0.129
-2.9123,0.214,4.1773
-2.5298,0.1119,3.9351
-2.6793,3.0386,-0.9791
2.7877,-0.6043,3.695
1.029,-1.4032,1.5986
0.2717,-1.5154,-2.097
-1.7147,3.7939,-1.049
0.2694,1.8244,-1.596
0.806,2.1321,0.1665
-0.0539,-0.5096,5.6194
-5.9723,-3.3021,3.1482
6.7862,-3.287,3.9555
-4.0366,1.4645,-0.6733
0.2,3.6867,-1.5153
-5.4324,-0.0925,0.3524
-1.0543,0.2157,4.8685
-0.6809,2.9031,-0.3451
-5.703,-2.2299,0.7407
2.3664,0.7995,1.9638
1.6923,-1.5469,-1.1696
0.2365,2.8625,-2.1812
-3.6586,1.8935,0.0413
-3.2054,-1.7536,-0.3847
-0.1148,-2.0734,-1.0431
2.2692,-1.6741,1.2787
-1.8188,1.2233,0.2778
-3.9114,-0.1363,-0.3669
1.4239,-0.3307,-0.2921
4.9018,-3.8095,-1.6804
-4.3211,3.2523,3.5658
-0.469,1.614,4.4001
2.6216,2.9108,4.4475
0.3124,3.1435,-0.4372
0.4492,-1.1716,2.194
-3.0682,0.6375,0.785
-5.3049,-1.9023,0.8114
0.7755,-1.5083,-1.7218
-1.7237,1.0672,1.457
-5.6398,-1.8237,3.5913
0.8821,-1.4658,3.7271
-0.806,2.8751,-1.8324
1.0619,2.6298,-0.4036
-3.3736,0.3152,0.603
0.1844,1.5645,-0.547
0.8902,-1.5503,-1.3923
-5.0961,1.6467,7.3877
-5.0033,0.333,-0.4906
-5.3508,0.64,-0.8627
-3.876,-3.0655,1.8393
8.1086,-1.098,1.4886
-0.1539,-0.4516,-0.9241
-4.02,-0.3775,1.1479
-2.6303,-0.6781,4.459
-1.3289,-0.5902,-0.3319
7.7381,-2.0969,0.3441
5.6442,0.29,-0.5945
-0.7698,-0.9183,-0.5936
0.0106,-0.2698,9.5938
2.11,-0.8883,0.0195
-3.8735,0.8721,0.2908
0.7776,-1.3682,-1.0014
-0.5584,0.3629,1.7365
-5.0044,-0.7099,0.8165
1.2054,-1.3531,0.7544
2.4404,2.2401,1.5124
-1.8964,-1.0101,2.7643
1.7821,-0.4521,0.5109
0.2317,-1.1575,3.9691
-6.4405,0.4866,-0.2639
-0.6209,-1.835,-1.0265
1.4442,2.6699,0.0509
-4.946,-0.2563,0.3879
4.2425,-3.6116,2.9565
-2.3435,0.4674,5.2815
-5.4734,-0.752,0.1574
-4.1686,1.2062,-1.1469
-0.6026,3.4024,3.7331
2.1563,1.2276,-1.0283
1.167,-1.7181,-1.0501
1.4804,3.9602,3.9821
-2.8796,-0.3119,6.5516
-6.0094,0.4952,-0.6355
-0.9204,-0.2461,9.1611
0.6383,1.119,-0.2487
0.7837,-1.9296,1.9408
2.7764,-0.7371,2.9537
-0.4607,-1.3809,-1.3976
3.2599,1.1493,-0.9958
-5.1178,-2.2016,2.4521
-4.2766,-0.5235,0.9014
-4.8558,0.8293,0.0229
2.1636,-0.0738,1.0046
-5.8458,-0.4952,-0.0745
-0.4378,1.5184,-1.0776
-5.9826,0.6767,-0.5537
0.7196,2.6506,-1.5227
4.6892,-0.466,1.4822
-1.0396,1.0489,0.0417
-0.3518,-1.0322,-0.8555
-0.7583,-0.9215,-1.4636
6.6482,-4.9411,6.269
3.1105,1.2124,-1.1646
-5.0485,-0.1407,0.8248
-4.1521,0.4742,0.3313
-1.7131,3.236,-0.8017
1.9128,1.559,-1.8087
2.7855,-1.5844,-0.1705
-4.8783,-1.1414,0.2717
0.1507,0.3193,-1.0201
-5.0918,0.8197,5.36
-0.4979,-0.3495,5.2805
-5.0159,-2.0736,-0.2299
-5.928,0.115,-0.7314
4.4283,1.7408,2.1545
3.3569,-1.9352,-0.5346
-6.0154,1.3843,-1.071
-4.856,2.5995,2.4585
4.3634,-1.1103,0.8246
2.0887,4.0415,2.5068
2.9905,1.0381,-0.606
1.2355,1.2159,-2.1289
1.7894,0.2473,-1.7035
1.5739,3.3412,0.8266
-1.2036,-1.5273,0.4621
-2.2319,2.3323,0.2398
1.8905,2.394,4.3673
-5.6346,2.5478,1.9496
-2.5358,0.97,1.3762
-3.7042,1.2463,-0.3643
2.812,-1.3399,3.6629
2.2428,-1.4443,-2.0571
1.561,2.287,-1.0025
-0.5603,-1.4411,-2.2062
-6.2727,-1.807,1.8776
2.4982,-1.4878,-1.4368
2.3269,-0.647,9.7169
3.5417,-1.7914,2.2068
-0.1384,0.5198,0.2224
-4.6284,-2.275,1.1451
2.227,0.0744,2.3177
-1.1846,0.05,-0.083
4.8084,-3.31,8.735
-0.3881,-0.2397,4.7738
4.2198,-0.9075,3.7046
-6.2821,0.3909,-0.3582
-0.3835,-0.9434,-0.5843
0.0375,0.6226,0.0867
-2.1828,-0.4074,4.3466
0.7351,-0.5328,-0.8213
-4.2595,0.8834,-0.4568
3.3239,4.702,1.7683
-4.8741,0.3431,-0.1601
-1.121,2.7029,-2.0834
-0.2638,-0.2156,-1.4892
-5.0185,1.0988,-1.1888
-1.3775,-0.2987,-0.3427
-3.1558,1.3585,7.9697
-5.4689,1.0202,-0.8536
-3.6848,-0.2299,-1.3758
2.7398,-0.4109,0.0477
4.6226,-0.6393,2.3532
-6.6447,2.0303,2.5745
-2.3166,1.0647,5.9094
3.9188,3.7557,3.5994
5.6569,-1.5289,3.5336
0.4,1.8615,-0.3623
1.8105,-0.3871,3.2061
2.5306,1.2121,5.5002
7.9843,-1.5301,3.5994
-5.5507,0.9499,-0.9791
-5.4705,0.2756,-0.4227
-0.6888,1.1461,-0.0951
1.8214,-1.2316,-0.5161
-0.226,3.2284,-1.2109
-1.0932,-0.5233,-1.7213
-0.9464,1.4408,-1.1336
0.2277,3.0652,0.5835
-4.394,1.8902,-0.2271
-5.008,-0.035,-0.729
-0.5965,0.7276,0.1789
-4.4571,3.8125,4.0883
1.6265,2.1438,0.096
-2.8855,3.7728,-1.9672
-0.6829,3.1329,-0.5258
-5.0165,-2.2086,0.9802
-3.6405,-1.2865,4.9267
7.9654,-1.0059,3.5369
-5.5151,-1.0518,0.2558
7.6744,-5.9706,0.9231
2.2156,0.0571,1.0031
-0.2248,1.1322,3.0705
-1.4845,0.778,-0.1263
-0.3907,-0.6016,-1.5763
-3.8516,-1.0193,3.1396
-5.3414,-0.3769,0.8528
0.4676,5.4479,1.7235
-3.1138,0.8999,3.0917
2.7745,3.0208,3.7135
-2.1106,-0.9053,-0.9191
3.2512,4.0726,0.9816
1.8518,-0.711,3.207
-2.5251,3.142,-2.7556
1.7275,-1.3742,1.1303
3.0101,-4.2033,5.621
-0.3966,0.4507,-0.2835
2.941,-3.8878,-0.6277
7.1628,1.9804,3.7939
-0.0843,0.1466,2.9775
1.2616,3.2596,2.4902
5.76,-2.78,-1.1482
2.6374,-0.0597,6.4338
-5.2514,0.4162,-0.9125
3.9064,-0.2918,4.1953
1.0707,2.5683,1.0598
0.9473,-1.9505,-0.6512
